O:C,H:C,ScINT
0.162790698,0.860465116,80723.48182
0.136363636,0.704545455,76837.72416
0.826086957,1.869565217,67938.08563
0.018867925,0.547169811,57910.32392
1.047619048,2.19047619,57910.32392
0.323529412,1.117647059,57032.89477
0.588235294,1.882352941,710682.1434
0.315789474,1.473684211,406104.082
0.034482759,0.724137931,340410.7746
0.434782609,1.565217391,380405.9686
0.352941176,2.294117647,350239.3663
0,1.481481481,230084.2552
0.222222222,2.277777778,213211.4098
0.266666667,1.133333333,260198.5388
0.842105263,2.052631579,220570.6004
0.193548387,1.161290323,211224.3885
0.179487179,0.564102564,191784.2678
0.391304348,1.391304348,146922.4508
0.571428571,1.666666667,146174.7538
0.75,2.3,312416.8962
0.048780488,0.829268293,287844.7808
0.1875,1.09375,284334.4786
0.075,0.975,234187.3042
0,0.857142857,132388.5403
0,1.923076923,645380.3371
0.019230769,1.769230769,503396.6629
1.363636364,1,721303.6591
0.846153846,0.538461538,421403.3409
0.2,1.24,374674.6226
0.470588235,1.588235294,308502.9709
0.037037037,1,266027.9241
0.5625,2,247249.4824
4.714285714,2.142857143,230761.8211
1.388888889,0.555555556,226482.3579
0.678571429,0.392857143,204755.8526
1.208333333,0.291666667,183029.3474
0.6,0.057142857,172495.2842
1.210526316,0.631578947,139576.3368
0.12,0.32,1243914
1.75,2.875,421704.2034
0.529411765,1.235294118,402250.5869
0.388888889,1.277777778,360833.2097
0.071428571,1.642857143,1197540
0.033333333,1.4,1246266
2.272727273,1,1162614
2.6,1.4,1159087
1.333333333,1.166666667,354901.1125
1.076923077,0.615384615,352544.5314
1.25,1.083333333,237543.3741
0,0.384615385,211620.9821
1.166666667,1.416666667,315447.1049
0.260869565,0.52173913,261508.6259
0.03030303,0.151515152,213521.979
0.714285714,0.928571429,200130.3566
0.923076923,1.461538462,179670.9336
0.111111111,0.592592593,304328.2488
0.6875,1.3125,280975.4112
0.192307692,0.846153846,246872.8547
0.529411765,1.352941176,225002.7369
0.035714286,0.642857143,113798.7483
0.078947368,0.578947368,258500.6327
0.407407407,1,220959.0471
0.042553191,0.212765957,174478.9886
0.24137931,0.793103448,149808.8038
1.533333333,1.8,149093.7259
0.025641026,0.615384615,135507.2473
0.129032258,0.64516129,74010.5546
0.518518519,1.555555556,213087.4008
0.157894737,0.973684211,206068.7117
0.363636364,2.136363636,183608.9066
0.344827586,1.310344828,162552.8393
0.428571429,1.571428571,153007.4222
1,2.388888889,140935.2769
0.102564103,1,121844.4426
0.35483871,1.451612903,383969.7602
0.28125,1.46875,258977.2622
